iter	RMSE
0	7.499926158
1	7.258895685
2	7.035077998
3	6.828796855
4	6.650947753
5	6.444011564
6	6.256358893
7	6.081172797
8	5.904024608
9	5.749395811
10	5.608031307
11	5.453237034
12	5.308981957
13	5.173535319
14	5.046383768
15	4.92517498
16	4.808251653
17	4.705845918
18	4.598747558
19	4.498776835
20	4.404821527
21	4.317979081
22	4.229063273
23	4.150852646
24	4.078117917
25	4.009083704
26	3.937627846
27	3.874819817
28	3.809865648
29	3.748674964
30	3.693879629
31	3.652070611
32	3.599040191
33	3.552103847
34	3.51768904
35	3.471325029
36	3.423700522
37	3.382222385
38	3.344370495
39	3.305049636
40	3.275093329
41	3.246769079
42	3.212217445
43	3.180065103
44	3.154525291
45	3.123416064
46	3.087673743
47	3.055074802
48	3.026332679
49	3.006297174
50	2.982027361
51	2.955558758
52	2.936181389
53	2.916129928
54	2.896045209
55	2.87339859
56	2.85734011
57	2.83724922
58	2.814043665
59	2.7998804
60	2.785872677
61	2.763660541
62	2.748085539
63	2.734401934
64	2.720865242
65	2.701890553
66	2.690873139
67	2.674331008
68	2.656394189
69	2.643742359
70	2.626298578
71	2.61462114
72	2.60396607
73	2.592709923
74	2.583421152
75	2.579230538
76	2.569558638
77	2.562599333
78	2.551825287
79	2.541434911
80	2.533497573
81	2.524538572
82	2.512128528
83	2.500349767
84	2.491860203
85	2.481362431
86	2.468277857
87	2.454877435
88	2.448002993
89	2.439828547
90	2.432283381
91	2.421796656
92	2.411589265
93	2.401085905
94	2.394504326
95	2.386799031
96	2.380383456
97	2.373464718
98	2.368980107
99	2.360692254
100	2.355646828
101	2.348786089
102	2.341663722
103	2.333633445
104	2.321935955
105	2.31388908
106	2.306854795
107	2.301036757
108	2.295229297
109	2.288031117
110	2.282127297
111	2.278429492
112	2.273450707
113	2.270017421
114	2.263787794
115	2.256402646
116	2.249084561
117	2.241230473
118	2.232812962
119	2.231951513
120	2.224499935
121	2.216426183
122	2.209009101
123	2.204154031
124	2.19713306
125	2.191081432
126	2.185453531
127	2.180628716
128	2.174338907
129	2.17137837
130	2.166958981
131	2.16154497
132	2.158026349
133	2.153088832
134	2.146143451
135	2.139356941
136	2.133514124
137	2.127970049
138	2.124312447
139	2.117888024
140	2.111070212
141	2.103957092
142	2.101599703
143	2.097085365
144	2.09497968
145	2.092131948
146	2.090125919
147	2.081846622
148	2.076696078
149	2.071420665
150	2.065080958
151	2.062562404
152	2.059824471
153	2.05475011
154	2.047841908
155	2.043237301
156	2.039892413
157	2.038999796
158	2.035944446
159	2.030629899
160	2.027787412
161	2.026102116
162	2.019352849
163	2.014682705
164	2.008538979
165	2.006486987
166	2.00509498
167	1.999303639
168	1.992797967
169	1.987415748
170	1.984180347
171	1.982535169
172	1.980672505
173	1.976505066
174	1.972594045
175	1.968284429
176	1.962478441
177	1.955253076
178	1.948357896
179	1.945051112
180	1.938540866
181	1.935335324
182	1.931077268
183	1.926918061
184	1.921002216
185	1.91339203
186	1.908090269
187	1.900580422
188	1.899478269
189	1.894520697
190	1.888253304
191	1.883056203
192	1.875842295
193	1.869668643
194	1.8622669
195	1.855888702
196	1.853076942
197	1.849385796
198	1.841690008
199	1.834797233
200	1.828219988
201	1.822602965
202	1.81389361
203	1.808779431
204	1.806138412
205	1.802941233
206	1.795950798
207	1.789822315
208	1.782966325
209	1.781352057
210	1.775023067
211	1.770007903
212	1.765352365
213	1.762646361
214	1.757329014
215	1.753198561
216	1.749641162
217	1.745936483
218	1.741448
219	1.738121446
220	1.734775426
221	1.72984601
222	1.723121371
223	1.718859511
224	1.715392972
225	1.710959196
226	1.703705083
227	1.699539791
228	1.692833274
229	1.68547594
230	1.68060883
231	1.67535653
232	1.670654811
233	1.665445817
234	1.661299176
235	1.656515335
236	1.653843768
237	1.649956705
238	1.647221777
239	1.646432917
240	1.642555415
241	1.637544969
242	1.635180935
243	1.630233353
244	1.626762987
245	1.623728618
246	1.619871803
247	1.618144366
248	1.612591849
249	1.607522219
250	1.602730456
251	1.599046691
252	1.59457043
253	1.591504621
254	1.586734542
255	1.581172044
256	1.577857144
257	1.574721347
258	1.568157461
259	1.562058094
260	1.55859506
261	1.55337446
262	1.550735511
263	1.547188262
264	1.544813285
265	1.542936816
266	1.537734756
267	1.533328209
268	1.531789312
269	1.526816694
270	1.521474028
271	1.517544195
272	1.515603469
273	1.513267908
274	1.509859783
275	1.50572154
276	1.501856977
277	1.500442281
278	1.495395275
279	1.491007341
280	1.486232074
281	1.481749603
282	1.476500043
283	1.47255046
284	1.469023715
285	1.466276664
286	1.464946432
287	1.464619193
288	1.464313732
289	1.461681231
290	1.456653874
291	1.452348828
292	1.447228756
293	1.44307344
294	1.442786614
295	1.437155379
296	1.433236713
297	1.431552272
298	1.427930454
299	1.424351618
300	1.421970727
301	1.420056412
302	1.417686118
303	1.413171606
304	1.409782534
305	1.407339167
306	1.402807445
307	1.397870532
308	1.397522243
309	1.394329849
310	1.393996292
311	1.393674809
312	1.391112728
313	1.38834872
314	1.385832686
315	1.382370553
316	1.379719529
317	1.376383806
318	1.372184209
319	1.37026844
320	1.368051444
321	1.365911881
322	1.363307704
323	1.359397277
324	1.359081958
325	1.355563653
326	1.35251607
327	1.347847831
328	1.343617585
329	1.340720593
330	1.337506938
331	1.337204747
332	1.33474477
333	1.332023334
334	1.32653727
335	1.326298692
336	1.322905946
337	1.319926864
338	1.316860574
339	1.315680089
340	1.314307251
341	1.312740934
342	1.310024319
