iter	Passed	Remaining
0	0	193
1	0	158
2	0	143
3	1	136
4	1	128
5	1	126
6	1	125
7	1	122
8	2	121
9	2	121
10	2	123
11	3	125
12	3	124
13	3	124
14	3	124
15	4	124
16	4	124
17	4	123
18	4	122
19	5	121
20	5	120
21	5	119
22	5	118
23	6	119
24	6	119
25	6	118
26	6	118
27	7	118
28	7	118
29	7	118
30	7	117
31	8	117
32	8	116
33	8	115
34	8	115
35	8	114
36	9	114
37	9	114
38	9	114
39	9	114
40	10	114
41	10	113
42	10	113
43	11	114
44	11	114
45	11	113
46	11	113
47	11	112
48	12	112
49	12	111
50	12	111
51	12	110
52	13	110
53	13	109
54	13	109
55	13	108
56	13	108
57	14	107
58	14	107
59	14	106
60	14	106
61	15	106
62	15	105
63	15	105
64	15	104
65	15	104
66	16	104
67	16	103
68	16	103
69	16	103
70	17	102
71	17	102
72	17	102
73	17	101
74	17	101
75	18	101
76	18	100
77	18	100
78	18	101
79	19	100
80	19	100
81	19	100
82	20	100
83	20	100
84	20	99
85	20	99
86	20	99
87	21	98
88	21	98
89	21	98
90	21	97
91	21	97
92	22	97
93	22	97
94	22	97
95	23	96
96	23	96
97	23	96
98	23	95
99	23	95
100	24	95
101	24	95
102	24	94
103	24	94
104	25	94
105	25	93
106	25	93
107	25	93
108	26	95
109	26	95
110	27	95
111	27	94
112	27	94
113	27	94
114	28	94
115	28	94
116	28	94
117	28	93
118	29	93
119	29	92
120	29	92
121	29	92
122	29	91
123	30	91
124	30	91
125	30	90
126	30	90
127	31	90
128	31	90
129	31	90
130	31	89
131	32	89
132	32	89
133	32	89
134	32	88
135	33	88
136	33	88
137	33	88
138	33	87
139	34	87
140	34	87
141	34	86
142	34	86
143	34	86
144	35	86
145	35	85
146	35	85
147	35	85
148	36	84
149	36	84
150	36	84
151	36	84
152	36	83
153	37	83
154	37	83
155	37	83
156	37	82
157	38	82
158	38	82
159	38	81
160	38	81
161	38	81
162	39	81
163	39	80
164	39	80
165	39	80
166	40	79
167	40	79
168	40	79
169	40	79
170	40	78
171	41	78
172	41	78
173	41	77
174	41	77
175	42	77
176	42	77
177	42	76
178	42	76
179	43	76
180	43	76
181	43	76
182	43	75
183	43	75
184	44	75
185	44	74
186	44	74
187	44	74
188	45	74
189	45	74
190	45	73
191	45	73
192	46	73
193	46	72
194	46	72
195	46	72
196	46	72
197	47	71
198	47	71
199	47	71
200	47	71
201	47	70
202	48	70
203	48	70
204	48	70
205	48	69
206	49	69
207	49	69
208	49	69
209	49	68
210	50	68
211	50	68
212	50	68
213	50	68
214	51	67
215	51	67
216	51	67
217	51	67
218	52	66
219	52	66
220	53	67
221	53	67
222	53	67
223	54	66
224	54	66
225	54	66
226	54	66
227	55	65
228	55	65
229	55	65
230	55	65
231	56	64
232	56	64
233	56	64
234	56	64
235	57	63
236	57	63
237	57	63
238	57	63
239	57	62
240	58	62
241	58	62
242	58	62
243	58	61
244	59	61
245	59	61
246	59	61
247	59	60
248	60	60
249	60	60
250	60	60
251	60	59
252	61	59
253	61	59
254	61	59
255	61	58
256	62	58
257	62	58
258	62	58
259	62	57
260	62	57
261	63	57
262	63	57
263	63	56
264	64	56
265	64	56
266	64	56
267	64	55
268	64	55
269	65	55
270	65	55
271	65	55
272	66	54
273	66	54
274	66	54
275	66	54
276	67	54
277	67	53
278	67	53
279	67	53
280	68	53
281	68	52
282	68	52
283	68	52
284	68	52
285	69	51
286	69	51
287	69	51
288	69	51
289	70	50
290	70	50
291	70	50
292	70	50
293	71	49
294	71	49
295	71	49
296	71	49
297	71	48
298	72	48
299	72	48
300	72	47
301	72	47
302	73	47
303	73	47
304	73	47
305	73	46
306	73	46
307	74	46
308	74	45
309	74	45
310	74	45
311	75	45
312	75	44
313	75	44
314	75	44
315	75	44
316	76	43
317	76	43
318	76	43
319	76	43
320	77	42
321	77	42
322	77	42
323	77	42
324	77	41
325	78	41
326	78	41
327	78	41
328	78	41
329	79	40
330	79	40
331	79	40
332	79	40
333	80	39
334	80	39
335	80	39
336	80	39
337	81	38
338	81	38
339	81	38
340	81	38
341	82	37
342	82	37
343	82	37
344	82	37
345	83	37
346	83	36
347	83	36
348	84	36
349	84	36
350	84	35
351	84	35
352	84	35
353	85	35
354	85	34
355	85	34
356	85	34
357	86	34
358	86	33
359	86	33
360	86	33
361	87	33
362	87	32
363	87	32
364	87	32
365	88	32
366	88	31
367	88	31
368	88	31
369	89	31
370	89	31
371	89	30
372	89	30
373	90	30
374	90	30
375	90	29
376	90	29
377	91	29
378	91	29
379	91	28
380	91	28
381	92	28
382	92	28
383	92	27
384	92	27
385	92	27
386	93	27
387	93	26
388	93	26
389	93	26
390	94	26
391	94	25
392	94	25
393	94	25
394	94	25
395	95	25
396	95	24
397	95	24
398	95	24
399	96	24
